"City","County","Cases"
"Miami","Dade","12,193"
"Hialeah","Dade","2,722"
"Tampa","Hillsborough","1,957"
"Fort Lauderdale","Broward","1,861"
"Orlando","Orange","1,860"
"Hollywood","Broward","1,761"
"Jacksonville","Duval","1,704"
"West Palm Beach","Palm Beach","1,597"
"Homestead","Dade","1,085"
"Naples","Collier","1,083"
"Lake Worth","Palm Beach","1,021"
"Immokalee","Collier","1,008"
"Fort Myers","Lee","984"
"Miami Beach","Dade","936"
"Pompano Beach","Broward","891"
"Bradenton","Manatee","861"
"Saint Petersburg","Pinellas","768"
"Boynton Beach","Palm Beach","767"
"Boca Raton","Palm Beach","722"
"Pensacola","Escambia","643"
"Delray Beach","Palm Beach","567"
"Kissimmee","Osceola","547"
"Lehigh Acres","Lee","546"
"Lake Worth Beach","Palm Beach","545"
"Miramar","Broward","520"
"Lakeland","Polk","513"
"Belle Glade","Palm Beach","472"
"Port Saint Lucie","St. Lucie","462"
"Sarasota","Sarasota","456"
"Cape Coral","Lee","456"
"Tallahassee","Leon","419"
"Miami Gardens","Dade","417"
"Clewiston","Hendry","416"
"Indiantown","Martin","399"
"Opa Locka","Dade","389"
"Stuart","Martin","379"
"Jupiter","Palm Beach","373"
"North Miami Beach","Dade","355"
"North Miami","Dade","351"
"Florida City","Dade","348"
"Coral Springs","Broward","341"
"Gainesville","Alachua","319"
"Port Charlotte","Charlotte","308"
"Arcadia","Desoto","289"
"Daytona Beach","Volusia","287"
"Sunrise","Broward","259"
"Clearwater","Pinellas","253"
"Doral","Dade","247"
"Winter Haven","Polk","242"
"Palm Beach Gardens","Palm Beach","236"
"Apopka","Orange","234"
"Royal Palm Beach","Palm Beach","229"
"Deerfield Beach","Broward","224"
"Davie","Broward","224"
"Jasper","Hamilton","223"
"Quincy","Gadsden","221"
"Margate","Broward","220"
"South Bay","Palm Beach","220"
"Fort Pierce","St. Lucie","219"
"Bristol","Liberty","215"
"South Miami","Dade","213"
"Ocala","Marion","204"
"Largo","Pinellas","195"
"Orange Park","Clay","190"
"Tamarac","Broward","186"
"Aventura","Dade","185"
"Palmetto","Manatee","184"
"Plantation","Broward","181"
"Plant City","Hillsborough","178"
"Riverview","Hillsborough","170"
"Brandon","Hillsborough","169"
"Wellington","Palm Beach","166"
"Punta Gorda","Charlotte","164"
"Lake City","Columbia","163"
"Palm Coast","Flagler","163"
"Pahokee","Palm Beach","162"
"Bonita Springs","Lee","160"
"Pembroke Pines","Broward","158"
"Milton","Santa Rosa","158"
"Sneads","Jackson","158"
"Saint Cloud","Osceola","158"
"Coral Gables","Dade","157"
"Weston","Broward","154"
"Live Oak","Suwannee","151"
"North Lauderdale","Broward","147"
"Seminole","Pinellas","144"
"Okeechobee","Okeechobee","141"
"Melbourne","Brevard","138"
"Labelle","Hendry","138"
"Hallandale","Broward","136"
"Vero Beach","Indian River","125"
"Sanford","Seminole","124"
"Bushnell","Sumter","122"
"Oakland Park","Broward","121"
"Wilton Manors","Broward","121"
"Saint Augustine","St. Johns","116"
"Coconut Creek","Broward","116"
"Fort Walton Beach","Okaloosa","116"
"Altamonte Springs","Seminole","116"
"North Port","Sarasota","115"
"Palatka","Putnam","114"
"Ormond Beach","Volusia","114"
"Deltona","Volusia","113"
"Green Cove Springs","Clay","108"
"Clermont","Lake","105"
"Lauderhill","Broward","101"
"Moore Haven","Glades","100"
"Davenport","Polk","98"
"Marianna","Jackson","93"
"Ruskin","Hillsborough","92"
"Cocoa","Brevard","90"
"Winter Garden","Orange","84"
"Pinellas Park","Pinellas","84"
"Panama City","Bay","83"
"Palm Harbor","Pinellas","82"
"Lantana","Palm Beach","82"
"Defuniak Springs","Walton","81"
"Riviera Beach","Palm Beach","81"
"Ocoee","Orange","81"
"Oviedo","Seminole","79"
"Spring Hill","Hernando","79"
"New Port Richey","Pasco","78"
"Bartow","Polk","77"
"Miami Lakes","Dade","77"
"Casselberry","Seminole","75"
"Wesley Chapel","Pasco","75"
"Hobe Sound","Martin","74"
"Key Biscayne","Dade","74"
"Middleburg","Clay","74"
"Lauderdale Lakes","Broward","73"
"Venice","Sarasota","73"
"Chipley","Washington","72"
"Winter Park","Orange","71"
"Estero","Lee","71"
"North Fort Myers","Lee","69"
"Palm Bay","Brevard","69"
"The Villages","Sumter","69"
"Deland","Volusia","68"
"Wauchula","Hardee","68"
"Sebring","Highlands","67"
"Valrico","Hillsborough","67"
"Land O Lakes","Pasco","65"
"Longwood","Seminole","64"
"Dade City","Pasco","63"
"Loxahatchee","Palm Beach","63"
"Lake Wales","Polk","62"
"Port Orange","Volusia","61"
"Bowling Green","Hardee","61"
"Palm City","Martin","60"
"Kissimmee","Polk","59"
"Blountstown","Calhoun","59"
"Madison","Madison","59"
"Chiefland","Levy","59"
"Lake Mary","Seminole","56"
"Ponte Vedra Beach","St. Johns","55"
"Cooper City","Broward","54"
"Cantonment","Escambia","53"
"Inverness","Citrus","52"
"Wimauma","Hillsborough","51"
"Palm Springs","Palm Beach","51"
"Auburndale","Polk","49"
"Parrish","Manatee","49"
"Zephyrhills","Pasco","49"
"Leesburg","Lake","48"
"Missing","Palm Beach","47"
"Starke","Bradford","46"
"Perry","Taylor","46"
"Windermere","Orange","45"
"Winter Springs","Seminole","45"
"Lutz","Hillsborough","45"
"Avon Park","Highlands","45"
"Dania","Broward","45"
"Jacksonville Beach","Duval","44"
"Key West","Monroe","44"
