"State","City","County","Cases"
"Florida","Miami","Dade","12,766"
"Florida","Hialeah","Dade","2,871"
"Florida","Tampa","Hillsborough","2,294"
"Florida","Orlando","Orange","2,183"
"Florida","Fort Lauderdale","Broward","1,969"
"Florida","Hollywood","Broward","1,839"
"Florida","Jacksonville","Duval","1,802"
"Florida","West Palm Beach","Palm Beach","1,787"
"Florida","Homestead","Dade","1,303"
"Florida","Naples","Collier","1,205"
"Florida","Lake Worth","Palm Beach","1,189"
"Florida","Immokalee","Collier","1,075"
"Florida","Fort Myers","Lee","1,065"
"Florida","Saint Petersburg","Pinellas","991"
"Florida","Pompano Beach","Broward","985"
"Florida","Miami Beach","Dade","947"
"Florida","Bradenton","Manatee","931"
"Florida","Boynton Beach","Palm Beach","821"
"Florida","Boca Raton","Palm Beach","774"
"Florida","Pensacola","Escambia","680"
"Florida","Delray Beach","Palm Beach","615"
"Florida","Lehigh Acres","Lee","602"
"Florida","Lake Worth Beach","Palm Beach","594"
"Florida","Kissimmee","Osceola","580"
"Florida","Miramar","Broward","560"
"Florida","Port Saint Lucie","St. Lucie","556"
"Florida","Lakeland","Polk","545"
"Florida","Cape Coral","Lee","503"
"Florida","Belle Glade","Palm Beach","487"
"Florida","Stuart","Martin","482"
"Florida","Sarasota","Sarasota","477"
"Florida","Indiantown","Martin","454"
"Florida","Miami Gardens","Dade","447"
"Florida","Clewiston","Hendry","436"
"Florida","Tallahassee","Leon","431"
"Florida","Gainesville","Alachua","431"
"Florida","Opa Locka","Dade","417"
"Florida","Jupiter","Palm Beach","397"
"Florida","Coral Springs","Broward","372"
"Florida","Florida City","Dade","364"
"Florida","North Miami Beach","Dade","362"
"Florida","North Miami","Dade","362"
"Florida","Port Charlotte","Charlotte","326"
"Florida","Arcadia","Desoto","320"
"Florida","Daytona Beach","Volusia","311"
"Florida","Clearwater","Pinellas","305"
"Florida","Sunrise","Broward","279"
"Florida","Winter Haven","Polk","275"
"Florida","Doral","Dade","266"
"Florida","Royal Palm Beach","Palm Beach","260"
"Florida","Fort Pierce","St. Lucie","259"
"Florida","Palm Beach Gardens","Palm Beach","251"
"Florida","Apopka","Orange","249"
"Florida","Deerfield Beach","Broward","242"
"Florida","Davie","Broward","237"
"Florida","Margate","Broward","230"
"Florida","South Bay","Palm Beach","225"
"Florida","Largo","Pinellas","225"
"Florida","Jasper","Hamilton","224"
"Florida","Quincy","Gadsden","223"
"Florida","Bristol","Liberty","215"
"Florida","South Miami","Dade","215"
"Florida","Ocala","Marion","214"
"Florida","Palmetto","Manatee","205"
"Florida","Plant City","Hillsborough","200"
"Florida","Brandon","Hillsborough","196"
"Florida","Plantation","Broward","196"
"Florida","Riverview","Hillsborough","196"
"Florida","Tamarac","Broward","193"
"Florida","Orange Park","Clay","191"
"Florida","Aventura","Dade","191"
"Florida","Pembroke Pines","Broward","174"
"Florida","Pahokee","Palm Beach","173"
"Florida","Wellington","Palm Beach","172"
"Florida","North Lauderdale","Broward","170"
"Florida","Milton","Santa Rosa","168"
"Florida","Punta Gorda","Charlotte","167"
"Florida","Palm Coast","Flagler","166"
"Florida","Saint Cloud","Osceola","164"
"Florida","Coral Gables","Dade","164"
"Florida","Bonita Springs","Lee","164"
"Florida","Lake City","Columbia","164"
"Florida","Weston","Broward","163"
"Florida","Sneads","Jackson","161"
"Florida","Live Oak","Suwannee","159"
"Florida","Okeechobee","Okeechobee","156"
"Florida","Seminole","Pinellas","156"
"Florida","Melbourne","Brevard","152"
"Florida","Labelle","Hendry","149"
"Florida","Hallandale","Broward","141"
"Florida","Vero Beach","Indian River","140"
"Florida","Altamonte Springs","Seminole","135"
"Florida","Sanford","Seminole","133"
"Florida","Coconut Creek","Broward","132"
"Florida","Fort Walton Beach","Okaloosa","130"
"Florida","Oakland Park","Broward","129"
"Florida","Oviedo","Seminole","125"
"Florida","Bushnell","Sumter","122"
"Florida","Wilton Manors","Broward","121"
"Florida","Clermont","Lake","120"
"Florida","North Port","Sarasota","120"
"Florida","Saint Augustine","St. Johns","120"
"Florida","Palatka","Putnam","118"
"Florida","Deltona","Volusia","118"
"Florida","Ormond Beach","Volusia","117"
"Florida","Green Cove Springs","Clay","115"
"Florida","Ruskin","Hillsborough","111"
"Florida","Lauderhill","Broward","110"
"Florida","Davenport","Polk","107"
"Florida","Moore Haven","Glades","106"
"Florida","Cocoa","Brevard","105"
"Florida","Pinellas Park","Pinellas","100"
"Florida","Winter Garden","Orange","99"
"Florida","Lantana","Palm Beach","96"
"Florida","Marianna","Jackson","95"
"Florida","Ocoee","Orange","90"
"Florida","Riviera Beach","Palm Beach","90"
"Florida","Panama City","Bay","88"
"Florida","Palm Harbor","Pinellas","88"
"Florida","New Port Richey","Pasco","88"
"Florida","Defuniak Springs","Walton","85"
"Florida","Wauchula","Hardee","84"
"Florida","Casselberry","Seminole","84"
"Florida","Winter Park","Orange","82"
"Florida","Sebring","Highlands","81"
"Florida","Spring Hill","Hernando","81"
"Florida","Bartow","Polk","80"
"Florida","Miami Lakes","Dade","80"
"Florida","Lauderdale Lakes","Broward","80"
"Florida","Tavares","Lake","80"
"Florida","Hobe Sound","Martin","80"
"Florida","Deland","Volusia","79"
"Florida","Wesley Chapel","Pasco","78"
"Florida","Venice","Sarasota","76"
"Florida","Chipley","Washington","76"
"Florida","North Fort Myers","Lee","75"
"Florida","Key Biscayne","Dade","75"
"Florida","Middleburg","Clay","74"
"Florida","Estero","Lee","73"
"Florida","Palm Bay","Brevard","72"
"Florida","Land O Lakes","Pasco","71"
"Florida","Longwood","Seminole","71"
"Florida","Valrico","Hillsborough","71"
"Florida","Loxahatchee","Palm Beach","70"
"Florida","Palm City","Martin","69"
"Florida","The Villages","Sumter","69"
"Florida","Dade City","Pasco","68"
"Florida","Lake Mary","Seminole","67"
"Florida","Lake Wales","Polk","66"
"Florida","Chiefland","Levy","66"
"Florida","Bowling Green","Hardee","66"
"Florida","Port Orange","Volusia","64"
"Florida","Blountstown","Calhoun","61"
"Florida","Madison","Madison","61"
"Florida","Cooper City","Broward","59"
"Florida","Kissimmee","Polk","59"
"Florida","Winter Springs","Seminole","58"
"Florida","Auburndale","Polk","57"
"Florida","Inverness","Citrus","57"
"Florida","Palm Springs","Palm Beach","56"
"Florida","Ponte Vedra Beach","St. Johns","56"
"Florida","Cantonment","Escambia","56"
"Florida","Parrish","Manatee","56"
"Florida","Wimauma","Hillsborough","54"
"Florida","Avon Park","Highlands","53"
"Florida","Lutz","Hillsborough","52"
"Florida","Perry","Taylor","52"
"Florida","Zephyrhills","Pasco","51"
"Florida","Leesburg","Lake","50"
"Florida","Jacksonville Beach","Duval","50"
"Florida","Windermere","Orange","49"
"Florida","Seffner","Hillsborough","48"
"Florida","Mulberry","Polk","48"
"Florida","Eustis","Lake","48"
"Florida","Dania","Broward","47"
"Florida","Key West","Monroe","47"
"Florida","Starke","Bradford","46"
"Florida","Saint Johns","St. Johns","45"
"Florida","Brooksville","Hernando","44"
