"DEPCODE","County","State","City","Cases"
1,"Alachua","Florida","Santa Fe","7"
1,"Alachua","Florida","La Crosse","5"
1,"Alachua","Florida","Micanopy","11"
1,"Alachua","Florida","Alachua","102"
1,"Alachua","Florida","Wesley Chapel","1"
1,"Alachua","Florida","Waldo","8"
1,"Alachua","Florida","Tioga","6"
1,"Alachua","Florida","Archer","34"
1,"Alachua","Florida","High Springs","36"
1,"Alachua","Florida","Gainesville","1688"
1,"Alachua","Florida","Earleton","2"
1,"Alachua","Florida","Hawthorne","20"
1,"Alachua","Florida","Newberry","79"
2,"Baker","Florida","Glen Saint Mary","15"
2,"Baker","Florida","Macclenny","102"
2,"Baker","Florida","Olustee","1"
2,"Baker","Florida","Sanderson","22"
3,"Bay","Florida","Lynn Haven","103"
3,"Bay","Florida","Bayou George","1"
3,"Bay","Florida","Panama City Beach","164"
3,"Bay","Florida","Watersound","1"
3,"Bay","Florida","Parker","1"
3,"Bay","Florida","Tyndall Air Force Base","4"
3,"Bay","Florida","Seacrest","1"
3,"Bay","Florida","Southport","17"
3,"Bay","Florida","Callaway","8"
3,"Bay","Florida","Inlet Beach","2"
3,"Bay","Florida","Fountain","8"
3,"Bay","Florida","Panama City","729"
3,"Bay","Florida","Youngstown","15"
4,"Bradford","Florida","Brooker","5"
4,"Bradford","Florida","Lake Butler","2"
4,"Bradford","Florida","Hampton","4"
4,"Bradford","Florida","Starke","92"
4,"Bradford","Florida","Lawtey","22"
5,"Brevard","Florida","Scottsmoor","1"
5,"Brevard","Florida","Indialantic","56"
5,"Brevard","Florida","Cocoa Beach","101"
5,"Brevard","Florida","Merritt Island","222"
5,"Brevard","Florida","Rockledge","182"
5,"Brevard","Florida","Sharpes","1"
5,"Brevard","Florida","Cape Canaveral","46"
5,"Brevard","Florida","Valkaria","1"
5,"Brevard","Florida","Grant-Valkaria","14"
5,"Brevard","Florida","Melbourne Beach","29"
5,"Brevard","Florida","Viera","30"
5,"Brevard","Florida","Palm Shores","2"
5,"Brevard","Florida","West Melbourne","66"
5,"Brevard","Florida","Palm Bay","653"
5,"Brevard","Florida","Sebastian","6"
5,"Brevard","Florida","Satellite Beach","87"
5,"Brevard","Florida","Port Saint John","3"
5,"Brevard","Florida","Barefoot Bay","9"
5,"Brevard","Florida","Attached","1"
5,"Brevard","Florida","Orlando","1"
5,"Brevard","Florida","Mims","41"
5,"Brevard","Florida","Titusville","209"
5,"Brevard","Florida","Fellsmele","1"
5,"Brevard","Florida","Patrick Air Force Base","16"
5,"Brevard","Florida","Malabar","20"
5,"Brevard","Florida","Cocoa","396"
5,"Brevard","Florida","Melbourne","922"
5,"Brevard","Florida","Indian Harbour Beach","24"
6,"Broward","Florida","Coconut Creek","500"
6,"Broward","Florida","Port Everglades","1"
6,"Broward","Florida","Doral","1"
6,"Broward","Florida","Pompano Beach","3342"
6,"Broward","Florida","Wilton Manors","175"
6,"Broward","Florida","Pembroke Pines","424"
6,"Broward","Florida","Cooper City","214"
6,"Broward","Florida","Deerfield Beach","821"
6,"Broward","Florida","Tamarac","669"
6,"Broward","Florida","Hallandale","516"
6,"Broward","Florida","Pooler","1"
6,"Broward","Florida","North Lauderdale","475"
6,"Broward","Florida","At Large","2"
6,"Broward","Florida","Dania Beach","7"
6,"Broward","Florida","Laud-By-The-Sea","1"
6,"Broward","Florida","West Hollywood","1"
6,"Broward","Florida","Fort Lauderdale","6379"
6,"Broward","Florida","Sunrise","889"
6,"Broward","Florida","Hillsboro Beach","1"
6,"Broward","Florida","Dania","210"
6,"Broward","Florida","Lauderhill","183"
6,"Broward","Florida","Parkland","145"
6,"Broward","Florida","Oakland Park","428"
6,"Broward","Florida","Plantation","694"
6,"Broward","Florida","Alpharetta","1"
6,"Broward","Florida","Southwest Ranches","52"
6,"Broward","Florida","Lighthouse Point","10"
6,"Broward","Florida","Davie","904"
6,"Broward","Florida","City Of Sunrise","3"
6,"Broward","Florida","Weston","476"
6,"Broward","Florida","West Park","10"
6,"Broward","Florida","Lauderdale By The Sea","18"
6,"Broward","Florida","Hallandale Beach","21"
6,"Broward","Florida","Pembroke Park","2"
6,"Broward","Florida","Miramar","1812"
6,"Broward","Florida","Lauderdale Lakes","153"
6,"Broward","Florida","Hollywood","5728"
6,"Broward","Florida","Coral Springs","1045"
6,"Broward","Florida","Hallandle Beach","1"
6,"Broward","Florida","Twentynine Palms","1"
6,"Broward","Florida","Margate","569"
7,"Calhoun","Florida","Blountstown","96"
7,"Calhoun","Florida","Kinard","3"
7,"Calhoun","Florida","Clarksville","7"
7,"Calhoun","Florida","Altha","34"
8,"Charlotte","Florida","Punta Gorda","361"
8,"Charlotte","Florida","El Jobean","1"
8,"Charlotte","Florida","Port Charlotte","585"
8,"Charlotte","Florida","Rotunda West","38"
8,"Charlotte","Florida","Englewood","67"
8,"Charlotte","Florida","Cape Haze","1"
8,"Charlotte","Florida","Placida","9"
8,"Charlotte","Florida","North Fort Myers","1"
8,"Charlotte","Florida","Fort Charlotte","1"
9,"Citrus","Florida","Holder","1"
9,"Citrus","Florida","Citrus Springs","20"
9,"Citrus","Florida","Crystal River","88"
9,"Citrus","Florida","Inverness","145"
9,"Citrus","Florida","Homosassa Springs","2"
9,"Citrus","Florida","Beverly Hills","37"
9,"Citrus","Florida","Floral City","9"
9,"Citrus","Florida","Dunnellon","23"
9,"Citrus","Florida","Homosassa","57"
9,"Citrus","Florida","Lecanto","29"
9,"Citrus","Florida","Hernando","31"
10,"Clay","Florida","Orange Park","688"
10,"Clay","Florida","Keystone Heights","29"
10,"Clay","Florida","Penney Farms","4"
10,"Clay","Florida","Doctors Inlet","1"
10,"Clay","Florida","Middleburg","283"
10,"Clay","Florida","Fleming Island","170"
10,"Clay","Florida","Green Cove Springs","207"
11,"Collier","Florida","Immokalee","1711"
11,"Collier","Florida","Chokoloskee","1"
11,"Collier","Florida","Ave Maria","51"
11,"Collier","Florida","Naples","3787"
11,"Collier","Florida","Everglades City","1"
11,"Collier","Florida","Ochopee","15"
11,"Collier","Florida","Marco Island","51"
11,"Collier","Florida","Goodland","2"
11,"Collier","Florida","Estero","1"
11,"Collier","Florida","Apo","1"
11,"Collier","Florida","Bonita Springs","1"
12,"Columbia","Florida","Lake City","425"
12,"Columbia","Florida","Orlando","1"
12,"Columbia","Florida","Live Oak","1"
12,"Columbia","Florida","Fort White","29"
13,"Dade","Florida","Miami","36943"
13,"Dade","Florida","Golden Beach","8"
13,"Dade","Florida","Saint Petersburg","1"
13,"Dade","Florida","Miami Lakes","321"
13,"Dade","Florida","Hialeah","8605"
13,"Dade","Florida","South Miami","314"
13,"Dade","Florida","North Miami Beach","909"
13,"Dade","Florida","Miamf","1"
13,"Dade","Florida","Coral Gables","516"
13,"Dade","Florida","Homestead","4287"
13,"Dade","Florida","Carol City","72"
13,"Dade","Florida","Quail Heights","1"
13,"Dade","Florida","Miami Shores","10"
13,"Dade","Florida","Doral","795"
13,"Dade","Florida","Goulds","7"
13,"Dade","Florida","North Bay Village","14"
13,"Dade","Florida","Fisher Island","2"
13,"Dade","Florida","Miami Gardens","1611"
13,"Dade","Florida","Sweetwater","12"
13,"Dade","Florida","Austin","1"
13,"Dade","Florida","Opa Locka","1317"
13,"Dade","Florida","Florida City","627"
13,"Dade","Florida","Cutler Ridge","2"
13,"Dade","Florida","Kendall","13"
13,"Dade","Florida","Kiiafai","1"
13,"Dade","Florida","El Portal","28"
13,"Dade","Florida","Sunny Isles Beach","18"
13,"Dade","Florida","Miami Beach","1715"
13,"Dade","Florida","Cutler Bay","26"
13,"Dade","Florida","Coconut Grove","29"
13,"Dade","Florida","Key Biscayne","150"
13,"Dade","Florida","Village Of Palmetto Bay","10"
13,"Dade","Florida","Miamksaohes","1"
13,"Dade","Florida","Perrine","3"
13,"Dade","Florida","Medley","55"
13,"Dade","Florida","Miami Springs","17"
13,"Dade","Florida","Bay Harbor Islands","8"
13,"Dade","Florida","Biscayne Park","24"
13,"Dade","Florida","Fl","1"
13,"Dade","Florida","University Of Miami","1"
13,"Dade","Florida","West Miami","34"
13,"Dade","Florida","Virginia Gardens","1"
13,"Dade","Florida","Leisure City","1"
13,"Dade","Florida","Naranja","13"
13,"Dade","Florida","Everglades National Park","1"
13,"Dade","Florida","Hialeah Gardens","15"
13,"Dade","Florida","Surfside","24"
13,"Dade","Florida","Pinecrest","179"
13,"Dade","Florida","Palmetto Bay","96"
13,"Dade","Florida","Aollywoss","1"
13,"Dade","Florida","North Miami","663"
13,"Dade","Florida","Xifamk","1"
13,"Dade","Florida","Princeton","17"
13,"Dade","Florida","Bal Harbour","26"
13,"Dade","Florida","Smiawic","1"
13,"Dade","Florida","Aventura","360"
14,"Desoto","Florida","Lake Suzy","10"
14,"Desoto","Florida","Arcadia","721"
14,"Desoto","Florida","Nocatee","10"
15,"Dixie","Florida","Cross City","38"
15,"Dixie","Florida","Old Town","61"
15,"Dixie","Florida","Steinhatchee","2"
16,"Duval","Florida","Jacksonville Naval Hospital","1"
16,"Duval","Florida","Jacksonville Beach","456"
16,"Duval","Florida","Jupiter","1"
16,"Duval","Florida","Neptune Beach","103"
16,"Duval","Florida","Fpo","2"
16,"Duval","Florida","Saint Johns","1"
16,"Duval","Florida","Baldwin","8"
16,"Duval","Florida","Jacksonville Naval Air Station","1"
16,"Duval","Florida","Jacksonville","11199"
16,"Duval","Florida","Dinsmore","2"
16,"Duval","Florida","Mayport Naval Housing","3"
16,"Duval","Florida","Mayport","4"
16,"Duval","Florida","Atlantic Beach","197"
16,"Duval","Florida","Maxville","2"
17,"Escambia","Florida","Pensacola Naval Hospital","1"
17,"Escambia","Florida","Alva","1"
17,"Escambia","Florida","Gulf Breeze","2"
17,"Escambia","Florida","Bellview","7"
17,"Escambia","Florida","Mcdavid","13"
17,"Escambia","Florida","Gonzalez","1"
17,"Escambia","Florida","Milton","1"
17,"Escambia","Florida","Century","20"
17,"Escambia","Florida","Molino","38"
17,"Escambia","Florida","Perdido Key","3"
17,"Escambia","Florida","Walnut Hill","5"
17,"Escambia","Florida","Pensacola Beach","1"
17,"Escambia","Florida","Pensacola","2771"
17,"Escambia","Florida","Cantonment","230"
18,"Flagler","Florida","Flagler Beach","41"
18,"Flagler","Florida","Bunnell","32"
18,"Flagler","Florida","Beverly Beach","1"
18,"Flagler","Florida","Palm Coast","367"
19,"Franklin","Florida","Apalachicola","13"
19,"Franklin","Florida","Carrabelle","6"
19,"Franklin","Florida","Eastpoint","10"
20,"Gadsden","Florida","Greensboro","10"
20,"Gadsden","Florida","Midway","42"
20,"Gadsden","Florida","Quincy","380"
20,"Gadsden","Florida","Havana","61"
20,"Gadsden","Florida","Chattahoochee","31"
20,"Gadsden","Florida","Gretna","24"
21,"Gilchrist","Florida","Fanning Springs","1"
21,"Gilchrist","Florida","Bell","29"
21,"Gilchrist","Florida","Trenton","94"
22,"Glades","Florida","Palmdale","3"
22,"Glades","Florida","Labelle","5"
22,"Glades","Florida","Moore Haven","185"
23,"Gulf","Florida","Mexico Beach","1"
23,"Gulf","Florida","Port Saint Joe","42"
23,"Gulf","Florida","Wewahitchka","27"
24,"Hamilton","Florida","White Springs","14"
24,"Hamilton","Florida","Jasper","318"
24,"Hamilton","Florida","Jennings","80"
25,"Hardee","Florida","Bowling Green","130"
25,"Hardee","Florida","Zolfo Springs","59"
25,"Hardee","Florida","Ona","9"
25,"Hardee","Florida","Wauchula","277"
26,"Hendry","Florida","Labelle","404"
26,"Hendry","Florida","Clewiston","621"
26,"Hendry","Florida","Felda","20"
26,"Hendry","Florida","Fort Denaud","10"
27,"Hernando","Florida","Spring Hill","479"
27,"Hernando","Florida","Hernando Beach","2"
27,"Hernando","Florida","Nobleton","3"
27,"Hernando","Florida","Brooksville","248"
27,"Hernando","Florida","Weeki Wachee","32"
28,"Highlands","Florida","Venus","6"
28,"Highlands","Florida","Avon Park","176"
28,"Highlands","Florida","Lorida","3"
28,"Highlands","Florida","Lake Placid","69"
28,"Highlands","Florida","Sebring","212"
29,"Hillsborough","Florida","Palma Ceia","1"
29,"Hillsborough","Florida","Sun City Center","128"
29,"Hillsborough","Florida","Carrollwood","13"
29,"Hillsborough","Florida","Valrico","465"
29,"Hillsborough","Florida","Homeless","2"
29,"Hillsborough","Florida","Gibsonton","179"
29,"Hillsborough","Florida","Tampa","11395"
29,"Hillsborough","Florida","Odessa","215"
29,"Hillsborough","Florida","Ybor City","3"
29,"Hillsborough","Florida","Sun City","6"
29,"Hillsborough","Florida","Riverview","1093"
29,"Hillsborough","Florida","Mango","4"
29,"Hillsborough","Florida","Westchase","3"
29,"Hillsborough","Florida","Northdale","4"
29,"Hillsborough","Florida","Temple Terrace","15"
29,"Hillsborough","Florida","Town N Country","1"
29,"Hillsborough","Florida","Lutz","500"
29,"Hillsborough","Florida","Brandon","1249"
29,"Hillsborough","Florida","Seffner","300"
29,"Hillsborough","Florida","Clearwater","1"
29,"Hillsborough","Florida","Perth Amboy","1"
29,"Hillsborough","Florida","Plant City","990"
29,"Hillsborough","Florida","Lithia","136"
29,"Hillsborough","Florida","Apollo Beach","146"
29,"Hillsborough","Florida","Venice","1"
29,"Hillsborough","Florida","Durant","2"
29,"Hillsborough","Florida","Wimauma","407"
29,"Hillsborough","Florida","Land O Lakes","2"
29,"Hillsborough","Florida","Arnondale","1"
