"CustomID","OBJECTID","Shape","DEPCODE","Country","State","County","City","Cases"
"10Asbury Lake",890,"Point",10,"USA","Florida","Clay","Asbury Lake","0"
"10Bellair",863,"Point",10,"USA","Florida","Clay","Bellair","0"
"10Belmore",1231,"Point",10,"USA","Florida","Clay","Belmore","0"
"10Doctors Inlet",878,"Point",10,"USA","Florida","Clay","Doctors Inlet","1"
"10Fleming Island",1224,"Point",10,"USA","Florida","Clay","Fleming Island","277"
"10Green Cove Springs",432,"Point",10,"USA","Florida","Clay","Green Cove Springs","297"
"10Highland",881,"Point",10,"USA","Florida","Clay","Highland","0"
"10Hugh",876,"Point",10,"USA","Florida","Clay","Hugh","0"
"10Keystone Heights",458,"Point",10,"USA","Florida","Clay","Keystone Heights","51"
"10Kingsley",908,"Point",10,"USA","Florida","Clay","Kingsley","0"
"10Kingsley Village",1232,"Point",10,"USA","Florida","Clay","Kingsley Village","0"
"10Lake Geneva",1229,"Point",10,"USA","Florida","Clay","Lake Geneva","0"
"10Lakeside",872,"Point",10,"USA","Florida","Clay","Lakeside","0"
"10Leno",1226,"Point",10,"USA","Florida","Clay","Leno","0"
"10Loch Lommond",1230,"Point",10,"USA","Florida","Clay","Loch Lommond","0"
"10Mcrea",1228,"Point",10,"USA","Florida","Clay","Mcrea","0"
"10Meadowbrook Terrace",865,"Point",10,"USA","Florida","Clay","Meadowbrook Terrace","0"
"10Middleburg",423,"Point",10,"USA","Florida","Clay","Middleburg","434"
"10Neilhurst",1225,"Point",10,"USA","Florida","Clay","Neilhurst","0"
"10Orange Park",406,"Point",10,"USA","Florida","Clay","Orange Park","964"
"10Penney Farms",435,"Point",10,"USA","Florida","Clay","Penney Farms","4"
"10Russell",883,"Point",10,"USA","Florida","Clay","Russell","0"
"10Sun Garden",918,"Point",10,"USA","Florida","Clay","Sun Garden","0"
"10Walkill",1227,"Point",10,"USA","Florida","Clay","Walkill","0"
"11Ave Maria",1233,"Point",11,"USA","Florida","Collier","Ave Maria","53"
"11Belle Meade",1238,"Point",11,"USA","Florida","Collier","Belle Meade","0"
"11Bonita Shores",1240,"Point",11,"USA","Florida","Collier","Bonita Shores","0"
"11Bonita Springs",1241,"Point",11,"USA","Florida","Collier","Bonita Springs","1"
"11Carnestown",1244,"Point",11,"USA","Florida","Collier","Carnestown","0"
"11Chokoloskee",537,"Point",11,"USA","Florida","Collier","Chokoloskee","2"
"11Copeland",534,"Point",11,"USA","Florida","Collier","Copeland","0"
"11Deep Lake",1237,"Point",11,"USA","Florida","Collier","Deep Lake","0"
"11East Naples",706,"Point",11,"USA","Florida","Collier","East Naples","0"
"11Everglades",536,"Point",11,"USA","Florida","Collier","Everglades","0"
"11Everglades City",1245,"Point",11,"USA","Florida","Collier","Everglades City","1"
"11Fakahatchee",1243,"Point",11,"USA","Florida","Collier","Fakahatchee","0"
"11Golden Gate",703,"Point",11,"USA","Florida","Collier","Golden Gate","0"
"11Goodland",1242,"Point",11,"USA","Florida","Collier","Goodland","2"
"11Harker",1234,"Point",11,"USA","Florida","Collier","Harker","0"
"11Immokalee",205,"Point",11,"USA","Florida","Collier","Immokalee","1905"
"11Island Walk",1412,"Point",11,"USA","Florida","Collier","Island Walk","0"
"11Isles of Capri",1247,"Point",11,"USA","Florida","Collier","Isles of Capri","0"
"11Jerome",532,"Point",11,"USA","Florida","Collier","Jerome","0"
"11Lely",708,"Point",11,"USA","Florida","Collier","Lely","0"
"11Lely Resort",1251,"Point",11,"USA","Florida","Collier","Lely Resort","0"
"11Marco",535,"Point",11,"USA","Florida","Collier","Marco","0"
"11Marco Island",1246,"Point",11,"USA","Florida","Collier","Marco Island","70"
"11Miles City",1235,"Point",11,"USA","Florida","Collier","Miles City","0"
