"OIDField","OBJECTID","DEPCODE","Country","State","County","CityName","Cases"
"10Asbury Lake",1085,10,"USA","Florida","Clay","Asbury Lake","0"
"10Bellair",1060,10,"USA","Florida","Clay","Bellair","0"
"10Belmore",1191,10,"USA","Florida","Clay","Belmore","0"
"10Doctors Inlet",514,10,"USA","Florida","Clay","Doctors Inlet","1"
"10Fleming Island",571,10,"USA","Florida","Clay","Fleming Island","413"
"10Green Cove Springs",419,10,"USA","Florida","Clay","Green Cove Springs","433"
"10Highland",1076,10,"USA","Florida","Clay","Highland","0"
"10Hugh",1073,10,"USA","Florida","Clay","Hugh","0"
"10Keystone Heights",443,10,"USA","Florida","Clay","Keystone Heights","89"
"10Kingsley",1101,10,"USA","Florida","Clay","Kingsley","0"
"10Kingsley Village",1192,10,"USA","Florida","Clay","Kingsley Village","0"
"10Lake Geneva",1189,10,"USA","Florida","Clay","Lake Geneva","1"
"10Lakeside",1069,10,"USA","Florida","Clay","Lakeside","0"
"10Leno",1186,10,"USA","Florida","Clay","Leno","0"
"10Loch Lommond",1190,10,"USA","Florida","Clay","Loch Lommond","0"
"10Mcrea",1188,10,"USA","Florida","Clay","Mcrea","0"
"10Meadowbrook Terrace",1062,10,"USA","Florida","Clay","Meadowbrook Terrace","0"
"10Middleburg",410,10,"USA","Florida","Clay","Middleburg","718"
"10Neilhurst",1185,10,"USA","Florida","Clay","Neilhurst","0"
"10Orange Park",394,10,"USA","Florida","Clay","Orange Park","1578"
"10Penney Farms",421,10,"USA","Florida","Clay","Penney Farms","5"
"10Russell",1078,10,"USA","Florida","Clay","Russell","0"
"10Sun Garden",1110,10,"USA","Florida","Clay","Sun Garden","0"
"10Walkill",1187,10,"USA","Florida","Clay","Walkill","0"
"11Ave Maria",572,11,"USA","Florida","Collier","Ave Maria","62"
"11Belle Meade",1197,11,"USA","Florida","Collier","Belle Meade","0"
"11Bonita Shores",1199,11,"USA","Florida","Collier","Bonita Shores","0"
"11Bonita Springs",573,11,"USA","Florida","Collier","Bonita Springs","1"
"11Carnestown",1201,11,"USA","Florida","Collier","Carnestown","0"
"11Chokoloskee",477,11,"USA","Florida","Collier","Chokoloskee","2"
"11Copeland",768,11,"USA","Florida","Collier","Copeland","0"
"11Deep Lake",1196,11,"USA","Florida","Collier","Deep Lake","0"
"11East Naples",918,11,"USA","Florida","Collier","East Naples","0"
"11Everglades",770,11,"USA","Florida","Collier","Everglades","0"
"11Everglades City",575,11,"USA","Florida","Collier","Everglades City","2"
"11Fakahatchee",1200,11,"USA","Florida","Collier","Fakahatchee","0"
"11Golden Gate",916,11,"USA","Florida","Collier","Golden Gate","0"
"11Goodland",574,11,"USA","Florida","Collier","Goodland","6"
"11Harker",1193,11,"USA","Florida","Collier","Harker","0"
"11Immokalee",200,11,"USA","Florida","Collier","Immokalee","2150"
"11Island Walk",1337,11,"USA","Florida","Collier","Island Walk","0"
"11Isles of Capri",1202,11,"USA","Florida","Collier","Isles of Capri","0"
"11Jerome",766,11,"USA","Florida","Collier","Jerome","0"
"11Lely",920,11,"USA","Florida","Collier","Lely","0"
"11Lely Resort",1206,11,"USA","Florida","Collier","Lely Resort","0"
"11Marco",769,11,"USA","Florida","Collier","Marco","0"
"11Marco Island",576,11,"USA","Florida","Collier","Marco Island","139"
"11Miles City",1194,11,"USA","Florida","Collier","Miles City","0"
"11Naples",237,11,"USA","Florida","Collier","Naples","7549"
"11Naples Manor",767,11,"USA","Florida","Collier","Naples Manor","0"
"11Naples Park",911,11,"USA","Florida","Collier","Naples Park","0"
"11North Naples",917,11,"USA","Florida","Collier","North Naples","0"
"11Ochopee",56,11,"USA","Florida","Collier","Ochopee","23"
"11Old Grove",1203,11,"USA","Florida","Collier","Old Grove","0"
"11Old Marco Junction",1205,11,"USA","Florida","Collier","Old Marco Junction","0"
"11Orangetree",1198,11,"USA","Florida","Collier","Orangetree","0"
"11Palm River",910,11,"USA","Florida","Collier","Palm River","0"
"11Rock Island",1195,11,"USA","Florida","Collier","Rock Island","0"
"11Royal Palm Hammock",1204,11,"USA","Florida","Collier","Royal Palm Hammock","0"
"11Sunniland",905,11,"USA","Florida","Collier","Sunniland","0"
"11Verona Walk",1336,11,"USA","Florida","Collier","Verona Walk","0"
"11Vineyards",1338,11,"USA","Florida","Collier","Vineyards","0"
"12Bass",1239,12,"USA","Florida","Columbia","Bass","0"
"12Columbia",1103,12,"USA","Florida","Columbia","Columbia","0"
"12Ellisville",1240,12,"USA","Florida","Columbia","Ellisville","0"
"12Five Points",1077,12,"USA","Florida","Columbia","Five Points","0"
"12Fort White",434,12,"USA","Florida","Columbia","Fort White","117"
"12Hollingsworth Bluff",1242,12,"USA","Florida","Columbia","Hollingsworth Bluff","0"
"12Lake City",413,12,"USA","Florida","Columbia","Lake City","2800"
"12Lulu",516,12,"USA","Florida","Columbia","Lulu","4"
"12Mason",1243,12,"USA","Florida","Columbia","Mason","0"
"12Mikesville",1241,12,"USA","Florida","Columbia","Mikesville","0"
"12Mt Carrie",1244,12,"USA","Florida","Columbia","Mt Carrie","0"
"12Newco",1207,12,"USA","Florida","Columbia","Newco","0"
"12Watertown",1088,12,"USA","Florida","Columbia","Watertown","0"
"12Welburn",1208,12,"USA","Florida","Columbia","Welburn","0"
"12Winfield",1075,12,"USA","Florida","Columbia","Winfield","0"
